Designator,Mid X,Mid Y,Rotation,Layer
LED124,101.0,-165.075,90.0,top
LED125,101.075,-175.2,90.0,top
LED126,101.2,-185.25,90.0,top
LED127,116.75,-32.75,225.0,top
LED13,159.95,-109.348959,315.0,top
LED14,152.476041,-101.776041,315.0,top
LED15,142.851041,-92.248959,315.0,top
LED16,112.723959,-77.25,315.0,top
LED17,102.75,-67.198959,315.0,top
LED18,94.425,-59.148959,315.0,top
LED19,92.051041,-47.75,225.0,top
LED2,260.75,-142.625,270.0,top
LED20,99.752082,-47.148959,315.0,top
LED21,98.5,-45.898959,45.0,top
LED22,90.773959,-46.5,135.0,top
LED23,93.123959,-60.35,225.0,top
LED24,101.498959,-68.45,225.0,top
LED25,111.473959,-78.5,225.0,top
LED26,141.601041,-93.5,225.0,top
LED27,151.225,-103.026041,225.0,top
LED28,158.725,-110.575,225.0,top
LED29,166.275,-118.125,225.0,top
LED3,260.775,-131.575,270.0,top
LED30,173.725,-125.475,225.0,top
LED31,181.726041,-133.551041,225.0,top
LED32,191.825,-137.375,270.0,top
LED33,204.125,-137.425,270.0,top
LED34,216.55,-137.375,270.0,top
LED35,231.977082,-128.048959,315.0,top
LED36,239.55,-120.673959,315.0,top
LED37,246.925,-113.148959,315.0,top
LED38,254.625,-105.351041,315.0,top
LED39,251.625,-91.825,0.0,top
LED4,258.275,-119.298959,315.0,top
LED40,242.025,-91.665,0.0,top
LED41,242.025,-93.44,270.0,top
LED42,251.625,-93.625,270.0,top
LED43,253.373959,-104.1,45.0,top
LED44,245.673959,-111.925,45.0,top
LED45,257.0,-120.522918,225.0,top
LED46,259.025,-131.55,180.0,top
LED47,259.0,-142.625,180.0,top
LED48,259.025,-153.6,180.0,top
LED49,297.5,-43.6,180.0,top
LED5,238.325,-119.448959,45.0,top
LED50,297.5,-52.375,180.0,top
LED51,297.125,-60.751041,135.0,top
LED52,284.85,-61.3,90.0,top
LED53,273.35,-61.375,90.0,top
LED54,259.0,-70.25,180.0,top
LED55,249.8,-91.825,90.0,top
LED56,240.25,-91.665,90.0,top
LED57,228.925,-91.675,0.0,top
LED58,216.55,-91.675,0.0,top
LED59,204.125,-91.675,0.0,top
LED6,230.75,-126.823959,45.0,top
LED60,191.85,-91.575,0.0,top
LED61,181.95,-91.65,0.0,top
LED62,168.625,-91.6,0.0,top
LED63,155.4,-91.575,0.0,top
LED64,141.6,-91.047918,45.0,top
LED65,131.2,-84.1,0.0,top
LED66,119.5,-84.2,0.0,top
LED67,111.65,-91.7,0.0,top
LED68,102.0,-91.45,0.0,top
LED69,92.05,-91.6,0.0,top
LED7,216.55,-135.625,0.0,top
LED70,82.05,-91.65,0.0,top
LED71,72.4,-91.625,0.0,top
LED72,72.375,-93.4,270.0,top
LED73,82.05,-93.425,270.0,top
LED74,92.05,-93.375,270.0,top
LED75,101.975,-93.25,270.0,top
LED76,111.65,-93.45,270.0,top
LED77,119.5,-85.925,270.0,top
LED78,131.2,-85.85,270.0,top
LED79,140.35,-92.298959,135.0,top
LED8,204.125,-135.675,0.0,top
LED80,155.425,-93.35,270.0,top
LED81,168.6,-93.35,270.0,top
LED82,181.95,-93.4,270.0,top
LED83,191.85,-93.325,270.0,top
LED84,204.125,-93.425,270.0,top
LED85,216.525,-93.425,270.0,top
LED86,228.925,-93.425,270.0,top
