Ref,Val,Package,PosX,PosY,Rot,Side
"SW_BOOTLOAD1","Switch_SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",266.990000,-164.250000,-90.000000,bottom
"SW_RESET1","Switch_SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",282.230000,-164.250000,90.000000,bottom
